,Pairs,Follows,Followed_by
128,"('hmchvr', 'caitlin_vierra')",False,False
129,"('hmchvr', 'rf_mehlinger')",False,False
130,"('hmchvr', 'tony1athome')",False,False
131,"('hmchvr', 'vanessareality')",False,False
132,"('hmchvr', 'jtamm7')",False,False
133,"('hmchvr', 'gavmdr')",False,False
134,"('hmchvr', 'equan430')",False,False
135,"('hmchvr', 'terribletasman')",False,False
136,"('hmchvr', 'hocherie1')",False,False
137,"('hmchvr', 'jkim720')",False,False
138,"('hmchvr', 'InqHmc')",False,False
139,"('hmchvr', 'claremontind')",False,False
140,"('hmchvr', 'cmcforum')",False,False
141,"('hmchvr', 'KGIpres')",False,False
142,"('hmchvr', 'KeckGrad')",False,False
143,"('hmchvr', 'hkbyoung')",False,False
144,"('hmchvr', 'macavity42')",False,False
145,"('hmchvr', 'JackRNewhouse')",False,False
146,"('hmchvr', 'everner')",False,False
147,"('hmchvr', 'raunak_pednekar')",False,False
148,"('hmchvr', 'leslieforrrestr')",False,False
149,"('hmchvr', 'hmcicecreambike')",False,False
150,"('hmchvr', 'rdchambers')",False,False
151,"('hmchvr', 'Craigni')",False,False
152,"('hmchvr', 'LucidLunatic')",False,False
153,"('hmchvr', 'EvanHub')",False,False
154,"('hmchvr', 'HEKS86')",False,False
155,"('hmchvr', 'elsweato')",False,False
156,"('hmchvr', 'StephenBlankley')",False,False
157,"('hmchvr', 'SoniaMinassian')",False,False
158,"('hmchvr', 'stephani_shusta')",False,False
159,"('hmchvr', 'moniebalogna')",False,False
160,"('hmchvr', 'susanna_todaro')",False,False
161,"('hmchvr', 'gmcredo1')",False,False
162,"('hmchvr', 'EvannRamona')",False,False
163,"('hmchvr', 'jonessurgery')",False,False
164,"('hmchvr', 'FinalFrog')",False,False
165,"('hmchvr', 'MsKretsch')",False,False
166,"('hmchvr', 'gharrettwong')",False,False
167,"('hmchvr', 'steuard')",False,False
168,"('hmchvr', 'Aerathil')",False,False
169,"('hmchvr', 'aocole')",False,False
170,"('hmchvr', 'carlosdavis')",False,False
171,"('hmchvr', 'mentaikosupaget')",False,False
172,"('hmchvr', 'pboothe')",False,False
173,"('hmchvr', 'jtbandes')",False,False
174,"('hmchvr', 'yogurtearl')",False,False
175,"('hmchvr', 'haaksmash')",False,False
176,"('hmchvr', 'angusho')",False,False
177,"('hmchvr', 'gdarklighter')",False,False
178,"('hmchvr', 'emalminator')",False,False
179,"('hmchvr', 'danwr')",False,False
180,"('hmchvr', 'Kevin_Hainline')",False,False
181,"('hmchvr', 'djtrindle')",False,False
182,"('hmchvr', 'ekayfoli')",False,False
183,"('hmchvr', 'dyong')",False,False
184,"('hmchvr', 'mtauraso')",False,False
185,"('hmchvr', 'eriksowa')",False,False
186,"('hmchvr', 'siapplebaum')",False,False
187,"('hmchvr', 'schimonster')",False,False
188,"('hmchvr', 'MikePricePhD')",False,False
189,"('hmchvr', 'jessibythebay')",False,False
190,"('hmchvr', 'jtspender')",False,False
191,"('hmchvr', 'drmorr0')",False,False
192,"('hmchvr', 'dorianscrima')",False,False
193,"('hmchvr', 'jeffreydrummond')",False,False
194,"('hmchvr', 'blampin')",False,False
195,"('hmchvr', 'franceshocutt')",False,False
196,"('hmchvr', 'MoreLuckey')",False,False
197,"('AthleticsCMS', 'akgonzal327')",False,True
198,"('AthleticsCMS', 'zephs_mom')",False,False
199,"('AthleticsCMS', 'SParkingCareers')",False,True
200,"('AthleticsCMS', 'erikawdyson')",False,False
201,"('AthleticsCMS', 'hamhatch')",False,False
202,"('AthleticsCMS', 'dagan_karp')",False,False
203,"('AthleticsCMS', 'MatinaDonaldson')",False,False
204,"('AthleticsCMS', 'KarlHaus')",False,False
205,"('AthleticsCMS', 'HaydeeLindo')",False,False
206,"('AthleticsCMS', 'ProfStoebel')",False,False
207,"('AthleticsCMS', 'themuddraker')",False,True
208,"('AthleticsCMS', 'hmc_dsa')",False,False
209,"('AthleticsCMS', 'HarveyMuddOCE')",False,False
210,"('AthleticsCMS', 'ProfOmarMath')",False,False
211,"('AthleticsCMS', 'Eliot_Bush')",False,False
212,"('AthleticsCMS', 'rsourspa')",False,False
213,"('AthleticsCMS', 'briposadas')",False,False
214,"('AthleticsCMS', 'elizjohansen')",False,False
215,"('AthleticsCMS', 'mattspencer_ee')",False,False
216,"('AthleticsCMS', 'XandaSchofield')",False,False
217,"('AthleticsCMS', 'stldenbroncofan')",False,False
218,"('AthleticsCMS', 'ohmaimy')",False,False
219,"('AthleticsCMS', 'PITraders')",False,False
220,"('AthleticsCMS', 'HMCDOS')",False,True
221,"('AthleticsCMS', 'BlaineHackman')",False,False
222,"('AthleticsCMS', 'hmcen_official')",False,False
223,"('AthleticsCMS', 'DaringRant')",False,False
224,"('AthleticsCMS', 'abby_korth')",False,False
225,"('AthleticsCMS', 'caitlin_vierra')",False,False
226,"('AthleticsCMS', 'rf_mehlinger')",False,False
227,"('AthleticsCMS', 'tony1athome')",False,False
228,"('AthleticsCMS', 'vanessareality')",False,False
229,"('AthleticsCMS', 'jtamm7')",False,False
230,"('AthleticsCMS', 'gavmdr')",False,False
231,"('AthleticsCMS', 'equan430')",False,False
232,"('AthleticsCMS', 'terribletasman')",False,False
233,"('AthleticsCMS', 'hocherie1')",False,False
234,"('AthleticsCMS', 'jkim720')",False,False
235,"('AthleticsCMS', 'InqHmc')",False,False
236,"('AthleticsCMS', 'claremontind')",False,False
237,"('AthleticsCMS', 'cmcforum')",True,True
238,"('AthleticsCMS', 'KGIpres')",False,True
239,"('AthleticsCMS', 'KeckGrad')",True,False
240,"('AthleticsCMS', 'hkbyoung')",False,False
241,"('AthleticsCMS', 'macavity42')",False,True
242,"('AthleticsCMS', 'JackRNewhouse')",False,False
243,"('AthleticsCMS', 'everner')",False,False
244,"('AthleticsCMS', 'raunak_pednekar')",False,False
245,"('AthleticsCMS', 'leslieforrrestr')",False,False
246,"('AthleticsCMS', 'hmcicecreambike')",False,True
247,"('AthleticsCMS', 'rdchambers')",False,False
248,"('AthleticsCMS', 'Craigni')",False,False
249,"('AthleticsCMS', 'LucidLunatic')",False,False
250,"('AthleticsCMS', 'EvanHub')",False,False
251,"('AthleticsCMS', 'HEKS86')",False,False
252,"('AthleticsCMS', 'elsweato')",False,False
253,"('AthleticsCMS', 'StephenBlankley')",False,True
254,"('AthleticsCMS', 'SoniaMinassian')",False,False
255,"('AthleticsCMS', 'stephani_shusta')",False,False
256,"('AthleticsCMS', 'moniebalogna')",False,False
257,"('AthleticsCMS', 'susanna_todaro')",False,False
258,"('AthleticsCMS', 'gmcredo1')",False,False
259,"('AthleticsCMS', 'EvannRamona')",False,False
260,"('AthleticsCMS', 'jonessurgery')",False,False
261,"('AthleticsCMS', 'FinalFrog')",False,False
262,"('AthleticsCMS', 'MsKretsch')",False,True
263,"('AthleticsCMS', 'gharrettwong')",False,False
264,"('AthleticsCMS', 'steuard')",False,False
265,"('AthleticsCMS', 'Aerathil')",False,False
266,"('AthleticsCMS', 'aocole')",False,False
267,"('AthleticsCMS', 'carlosdavis')",False,False
268,"('AthleticsCMS', 'mentaikosupaget')",False,False
269,"('AthleticsCMS', 'pboothe')",False,False
270,"('AthleticsCMS', 'jtbandes')",False,False
271,"('AthleticsCMS', 'yogurtearl')",False,False
272,"('AthleticsCMS', 'haaksmash')",False,False
273,"('AthleticsCMS', 'angusho')",False,False
274,"('AthleticsCMS', 'gdarklighter')",False,False
275,"('AthleticsCMS', 'emalminator')",False,False
276,"('AthleticsCMS', 'danwr')",False,False
277,"('AthleticsCMS', 'Kevin_Hainline')",False,False
278,"('AthleticsCMS', 'djtrindle')",False,False
279,"('AthleticsCMS', 'ekayfoli')",False,False
280,"('AthleticsCMS', 'dyong')",False,False
281,"('AthleticsCMS', 'mtauraso')",False,False
282,"('AthleticsCMS', 'eriksowa')",False,False
283,"('AthleticsCMS', 'siapplebaum')",False,False
284,"('AthleticsCMS', 'schimonster')",False,False
285,"('AthleticsCMS', 'MikePricePhD')",False,False
286,"('AthleticsCMS', 'jessibythebay')",False,False
287,"('AthleticsCMS', 'jtspender')",False,False
288,"('AthleticsCMS', 'drmorr0')",False,False
289,"('AthleticsCMS', 'dorianscrima')",False,False
290,"('AthleticsCMS', 'jeffreydrummond')",False,False
291,"('AthleticsCMS', 'blampin')",False,False
292,"('AthleticsCMS', 'franceshocutt')",False,False
293,"('AthleticsCMS', 'MoreLuckey')",False,False
294,"('akgonzal327', 'zephs_mom')",False,False
295,"('akgonzal327', 'SParkingCareers')",True,True
296,"('akgonzal327', 'erikawdyson')",True,True
297,"('akgonzal327', 'hamhatch')",False,False
298,"('akgonzal327', 'dagan_karp')",True,True
299,"('akgonzal327', 'MatinaDonaldson')",True,False
300,"('akgonzal327', 'KarlHaus')",False,False
301,"('akgonzal327', 'HaydeeLindo')",False,False
302,"('akgonzal327', 'ProfStoebel')",True,False
303,"('akgonzal327', 'themuddraker')",True,True
304,"('akgonzal327', 'hmc_dsa')",True,True
305,"('akgonzal327', 'HarveyMuddOCE')",True,True
306,"('akgonzal327', 'ProfOmarMath')",False,False
307,"('akgonzal327', 'Eliot_Bush')",False,False
308,"('akgonzal327', 'rsourspa')",False,False
309,"('akgonzal327', 'briposadas')",False,False
310,"('akgonzal327', 'elizjohansen')",False,False
311,"('akgonzal327', 'mattspencer_ee')",False,True
312,"('akgonzal327', 'XandaSchofield')",True,True
313,"('akgonzal327', 'stldenbroncofan')",False,False
314,"('akgonzal327', 'ohmaimy')",False,False
315,"('akgonzal327', 'PITraders')",True,False
316,"('akgonzal327', 'HMCDOS')",True,False
317,"('akgonzal327', 'BlaineHackman')",False,False
318,"('akgonzal327', 'hmcen_official')",False,False
319,"('akgonzal327', 'DaringRant')",False,False
320,"('akgonzal327', 'abby_korth')",False,False
321,"('akgonzal327', 'caitlin_vierra')",False,False
322,"('akgonzal327', 'rf_mehlinger')",False,False
323,"('akgonzal327', 'tony1athome')",False,False
324,"('akgonzal327', 'vanessareality')",False,False
325,"('akgonzal327', 'jtamm7')",False,False
326,"('akgonzal327', 'gavmdr')",False,False
327,"('akgonzal327', 'equan430')",False,False
328,"('akgonzal327', 'terribletasman')",False,False
329,"('akgonzal327', 'hocherie1')",False,False
330,"('akgonzal327', 'jkim720')",False,False
331,"('akgonzal327', 'InqHmc')",False,False
332,"('akgonzal327', 'claremontind')",False,False
333,"('akgonzal327', 'cmcforum')",False,False
334,"('akgonzal327', 'KGIpres')",False,False
335,"('akgonzal327', 'KeckGrad')",False,False
336,"('akgonzal327', 'hkbyoung')",False,False
337,"('akgonzal327', 'macavity42')",False,False
338,"('akgonzal327', 'JackRNewhouse')",False,False
339,"('akgonzal327', 'everner')",False,False
340,"('akgonzal327', 'raunak_pednekar')",False,False
341,"('akgonzal327', 'leslieforrrestr')",False,False
342,"('akgonzal327', 'hmcicecreambike')",True,False
343,"('akgonzal327', 'rdchambers')",False,False
344,"('akgonzal327', 'Craigni')",False,False
345,"('akgonzal327', 'LucidLunatic')",False,False
346,"('akgonzal327', 'EvanHub')",False,False
347,"('akgonzal327', 'HEKS86')",False,False
348,"('akgonzal327', 'elsweato')",False,False
349,"('akgonzal327', 'StephenBlankley')",False,False
350,"('akgonzal327', 'SoniaMinassian')",False,False
351,"('akgonzal327', 'stephani_shusta')",False,False
352,"('akgonzal327', 'moniebalogna')",False,False
353,"('akgonzal327', 'susanna_todaro')",False,False
354,"('akgonzal327', 'gmcredo1')",False,False
355,"('akgonzal327', 'EvannRamona')",False,False
356,"('akgonzal327', 'jonessurgery')",False,False
357,"('akgonzal327', 'FinalFrog')",False,False
358,"('akgonzal327', 'MsKretsch')",False,False
359,"('akgonzal327', 'gharrettwong')",False,False
360,"('akgonzal327', 'steuard')",False,False
361,"('akgonzal327', 'Aerathil')",False,False
362,"('akgonzal327', 'aocole')",False,False
363,"('akgonzal327', 'carlosdavis')",False,False
364,"('akgonzal327', 'mentaikosupaget')",False,False
365,"('akgonzal327', 'pboothe')",False,False
366,"('akgonzal327', 'jtbandes')",False,False
367,"('akgonzal327', 'yogurtearl')",False,False
368,"('akgonzal327', 'haaksmash')",False,False
369,"('akgonzal327', 'angusho')",False,False
370,"('akgonzal327', 'gdarklighter')",False,False
371,"('akgonzal327', 'emalminator')",False,False
372,"('akgonzal327', 'danwr')",False,False
373,"('akgonzal327', 'Kevin_Hainline')",False,False
374,"('akgonzal327', 'djtrindle')",False,False
375,"('akgonzal327', 'ekayfoli')",False,False
376,"('akgonzal327', 'dyong')",True,True
377,"('akgonzal327', 'mtauraso')",False,False
378,"('akgonzal327', 'eriksowa')",False,False
379,"('akgonzal327', 'siapplebaum')",False,False
380,"('akgonzal327', 'schimonster')",False,False
381,"('akgonzal327', 'MikePricePhD')",False,False
382,"('akgonzal327', 'jessibythebay')",False,False
383,"('akgonzal327', 'jtspender')",False,False
384,"('akgonzal327', 'drmorr0')",False,False
385,"('akgonzal327', 'dorianscrima')",False,False
386,"('akgonzal327', 'jeffreydrummond')",False,False
387,"('akgonzal327', 'blampin')",False,False
388,"('akgonzal327', 'franceshocutt')",False,False
389,"('akgonzal327', 'MoreLuckey')",False,False
390,"('zephs_mom', 'SParkingCareers')",False,False
391,"('zephs_mom', 'erikawdyson')",False,False
392,"('zephs_mom', 'hamhatch')",False,False
393,"('zephs_mom', 'dagan_karp')",False,False
394,"('zephs_mom', 'MatinaDonaldson')",False,False
395,"('zephs_mom', 'KarlHaus')",False,False
396,"('zephs_mom', 'HaydeeLindo')",False,False
397,"('zephs_mom', 'ProfStoebel')",False,False
398,"('zephs_mom', 'themuddraker')",False,False
399,"('zephs_mom', 'hmc_dsa')",False,False
400,"('zephs_mom', 'HarveyMuddOCE')",False,False
